time_points,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69
PF3D7_0110700,24.574,16.056,11.7607,6.95094,7.74228,11.9121,85.293,153.316,174.659,79.614,30.2394,19.8667,23.7384,17.9912,12.3307,7.30195,10.8845,15.668,60.1645,138.671,162.272,135.277,82.5517,30.421
PF3D7_0110800,196.516,122.771,112.372,105.319,110.594,130.489,125.964,78.1912,57.4057,29.0924,19.4103,93.8741,175.379,143.766,122.046,114.975,128.808,138.378,148.847,114.075,59.0757,51.0854,36.5282,47.6768
PF3D7_0110900,1.3784,13.0313,29.7292,44.1263,40.9492,45.9455,37.6452,28.999,21.9245,14.3877,6.42882,1.8392,1.95005,9.60777,31.2322,50.9329,41.5118,36.331,33.3201,21.2264,17.8865,10.3614,6.07162,4.20198
PF3D7_0111000,6.70662,3.1044,1.05367,0.923942,0.551319,0.546925,5.70507,12.7923,23.3143,22.9742,23.2239,19.4005,6.2526,2.35998,0.723846,0.359902,0.29248,0.625177,3.63892,10.8343,17.3817,24.6584,27.9433,26.0063
PF3D7_0111200,1.29897,0.637938,0,0,0.714619,0.52166,1.53133,9.19443,6.73731,14.2042,14.0816,9.59933,0,0,1.06063,0,0,0,3.33451,3.94429,4.89362,5.29592,3.20417,3.59985
PF3D7_0111300,5.96876,2.8214,1.33104,0.670681,1.04667,4.03,12.2552,26.2512,30.2227,46.8893,36.6315,26.8635,5.43589,2.12097,0.533048,0.28875,0.743079,3.42103,10.3264,13.0428,23.6261,19.0305,35.1647,24.7499
PF3D7_0111400,2.58426,1.73348,0.738459,0.531906,0.624165,2.27815,4.75556,12.4673,14.3626,22.5068,20.0696,13.0681,2.0955,0.620241,0.257327,0.511107,0.538078,2.00538,4.63832,4.56603,9.78845,4.88255,8.75118,9.22297
PF3D7_0111500,131.447,22.5345,7.40252,3.41661,2.37583,8.77998,44.7591,56.2268,65.4702,70.0839,154.941,281.575,136.797,32.6836,6.66667,1.9897,2.6882,8.75585,42.9003,71.8885,84.228,106.467,137.866,317.978
PF3D7_0111600,0.906478,1.44684,2.05163,3.57537,5.61029,7.28074,3.82926,3.16358,3.13439,3.15392,2.17102,1.58167,1.44271,0,1.85038,2.42233,10.7478,19.3684,10.8592,7.66766,9.29634,5.19711,3.75331,4.52184
PF3D7_0111700,0,0,0,0.598508,1.79481,1.63773,2.24353,0.962184,1.69212,0.486475,0,0.334852,0.57693,0.891765,0,1.50311,6.18908,8.64984,12.2133,3.53798,10.5836,7.48185,2.01188,3.16445
